FileName	Name	Condition
/mnt/storage/home/vsfishman/Projects/CNTN6_microarray/data/SG11464135_257236314153_S001_GE1_1105_Oct12_1_1.txt	iTAF1nor36	WT
/mnt/storage/home/vsfishman/Projects/CNTN6_microarray/data/SG11464135_257236314153_S001_GE1_1105_Oct12_2_1.txt	iTAF1nor36	WT
/mnt/storage/home/vsfishman/Projects/CNTN6_microarray/data/SG11464135_257236314153_S001_GE1_1105_Oct12_1_2.txt	iTAF1nor25	WT
/mnt/storage/home/vsfishman/Projects/CNTN6_microarray/data/SG11464135_257236314153_S001_GE1_1105_Oct12_2_2.txt	iTAF1nor25	WT
/mnt/storage/home/vsfishman/Projects/CNTN6_microarray/data/SG11464135_257236314153_S001_GE1_1105_Oct12_1_3.txt	iTAF2nor24	WT
/mnt/storage/home/vsfishman/Projects/CNTN6_microarray/data/SG11464135_257236314153_S001_GE1_1105_Oct12_2_3.txt	iTAF2nor24	WT
/mnt/storage/home/vsfishman/Projects/CNTN6_microarray/data/SG11464135_257236314153_S001_GE1_1105_Oct12_1_4.txt	iTAF3del17	WT
/mnt/storage/home/vsfishman/Projects/CNTN6_microarray/data/SG11464135_257236314153_S001_GE1_1105_Oct12_2_4.txt	iTAF3del17	WT
/mnt/storage/home/vsfishman/Projects/CNTN6_microarray/data/SG11464135_257236317537_S001_GE1_1105_Oct12_1_1.txt	iTAF3del21	DEL
/mnt/storage/home/vsfishman/Projects/CNTN6_microarray/data/SG11464135_257236317537_S001_GE1_1105_Oct12_2_1.txt	iTAF3del21	DEL
/mnt/storage/home/vsfishman/Projects/CNTN6_microarray/data/SG11464135_257236317537_S001_GE1_1105_Oct12_1_2.txt	iTAF3del17C98	DEL
/mnt/storage/home/vsfishman/Projects/CNTN6_microarray/data/SG11464135_257236317537_S001_GE1_1105_Oct12_2_2.txt	iTAF3del17C98	DEL
/mnt/storage/home/vsfishman/Projects/CNTN6_microarray/data/SG11464135_257236317537_S001_GE1_1105_Oct12_1_3.txt	mGlia	GLIA
/mnt/storage/home/vsfishman/Projects/CNTN6_microarray/data/SG11464135_257236317537_S001_GE1_1105_Oct12_2_3.txt	mGlia	GLIA
/mnt/storage/home/vsfishman/Projects/CNTN6_microarray/data/SG11464135_257236317537_S001_GE1_1105_Oct12_1_4.txt	iTAF4dup22	DUP
/mnt/storage/home/vsfishman/Projects/CNTN6_microarray/data/SG11464135_257236317537_S001_GE1_1105_Oct12_2_4.txt	iNAF1nor6	WT
/mnt/storage/home/vsfishman/Projects/CNTN6_microarray/data/SG11464135_257236317536_S001_GE1_1105_Oct12_1_4.txt iTAF4dup14	DUP
/mnt/storage/home/vsfishman/Projects/CNTN6_microarray/data/SG11464135_257236317536_S001_GE1_1105_Oct12_2_1.txt	iTAF4dup14	DUP
/mnt/storage/home/vsfishman/Projects/CNTN6_microarray/data/SG11464135_257236317536_S001_GE1_1105_Oct12_2_2.txt	iTAF4dup22	DUP
/mnt/storage/home/vsfishman/Projects/CNTN6_microarray/data/SG11464135_257236317536_S001_GE1_1105_Oct12_2_3.txt	iTAF4dup22	DUP
/mnt/storage/home/vsfishman/Projects/CNTN6_microarray/data/SG11464135_257236317536_S001_GE1_1105_Oct12_2_4.txt	iTAF2nor5	WT
