"exp" "geneID"
"54409" 16.6653073800047 "A_33_P3396434"
"11830" 16.523774385856 "lnc-WWC2-1"
"7915" 16.39452675348 "RNA28S5"
"18330" 16.2572399103815 "UBC"
"40832" 16.1577001538042 "MT1A"
"40722" 16.1577001538042 "MTRNR2L6"
"20150" 16.0547757205464 "RPS21"
"29796" 16.0547757205464 "A_33_P3370515"
"9199" 15.9743530490169 "COX8A"
"35578" 15.9489704518268 "THRA"
"56343" 15.9489704518268 "UBB"
"48275" 15.921627149076 "GPM6B"
"49606" 15.921627149076 "RPS20"
"12948" 15.8934130761574 "TUBA4A"
"46913" 15.8476741490014 "EIF1"
"43673" 15.8249958149101 "RPL23"
"17944" 15.7972656596835 "ACTB"
"48241" 15.7782884099411 "ADAMTS7"
"17421" 15.7588742262489 "SNAR-A3"
"22658" 15.7459535354067 "GNAS"
"12133" 15.7280221315849 "ATP5G3"
"18720" 15.7104910639266 "MT1HL1"
"50849" 15.7104910639266 "RPS27"
"53722" 15.6879338736028 "EEF1A1"
"3415" 15.6679422257773 "ENST00000491837"
"24997" 15.6679422257773 "LAMP1"
"13237" 15.6200067958751 "RPL34"
"46128" 15.6200067958751 "lnc-C20orf96-1"
"8651" 15.6045219653753 "GNAI2"
"30878" 15.5919505802794 "LOC102031319"
"57691" 15.5919505802794 "RPLP2"
"51203" 15.5775318493785 "SLC25A3"
"10061" 15.5605166945618 "UBC"
"23775" 15.5605166945618 "RPL35A"
"11907" 15.5348200740528 "LCE1D"
"41195" 15.5348200740528 "PPIA"
"31830" 15.5064947670657 "RPS5"
"32012" 15.5064947670657 "HIST1H2AH"
"52941" 15.4925936150456 "PCDHGA8"
"57173" 15.4925936150456 "XLOC_l2_015885"
"20061" 15.4765576084619 "RPS2"
"26224" 15.4765576084619 "RPL8"
"28458" 15.4639930904105 "HIST1H2AJ"
"49456" 15.42199016603 "TMSB4X"
"24698" 15.3956334688566 "RPS14"
"9528" 15.3600368042998 "RPL38"
"51135" 15.3600368042998 "HIST1H2AK"
"15718" 15.3216367732341 "LGALS1"
"40857" 15.3216367732341 "TUBB2A"
"23254" 15.2797069994306 "ENST00000507296"
"53008" 15.2124888335448 "CKB"
"38023" 15.1897488770061 "LBX1"
"41144" 15.1897488770061 "MTRNR2L2"
"27316" 15.1605295589753 "RPS3A"
"43156" 15.1392950120445 "ITM2C"
"56729" 15.1392950120445 "ENST00000505751"
"52359" 15.1114303520182 "lnc-SERHL2-3"
"5025" 15.0924962817174 "XLOC_l2_005557"
"26850" 15.0924962817174 "RPL13"
"8050" 15.0348814917713 "CD81"
"42173" 15.0164369446856 "HIST1H2BL"
"31259" 14.9975288328836 "RPS19"
"7504" 14.9733638778523 "RPL19P12"
"24203" 14.9733638778523 "ENST00000454541"
"4125" 14.9549845634641 "HMGN2"
"19978" 14.9549845634641 "RPS19"
"8262" 14.9143002037414 "VCP"
"12918" 14.891590079995 "HIST1H2AB"
"7281" 14.8735238201524 "FUT6"
"52979" 14.8735238201524 "CRYAB"
"787" 14.856426284716 "HIST2H2AB"
"57741" 14.856426284716 "RPS15"
"26118" 14.8353169134742 "COX6C"
"52792" 14.8108377607531 "RPS11"
"14449" 14.7913284410132 "GNAS"
"56032" 14.7913284410132 "PTRF"
"2394" 14.7801743667428 "ENST00000463344"
"50471" 14.7696492769989 "MAP4"
"42103" 14.7537038205016 "FAU"
"43523" 14.7537038205016 "RPS3A"
"57321" 14.7434966214081 "LINC01356"
"55567" 14.7359660147808 "RPS9"
"15332" 14.7233646601556 "ENST00000436136"
"42113" 14.7098667488357 "NEDD8"
"34554" 14.700679224883 "RPLP1"
"49886" 14.700679224883 "ENST00000440360"
"47753" 14.6922984996342 "ENST00000436473"
"764" 14.6714102913367 "DAZAP2"
"14465" 14.6567396136687 "MYL6"
"39985" 14.6439858721233 "RPL13A"
"25452" 14.6361291551401 "RPL36A"
"43695" 14.6175230189648 "HIST2H4B"
"51371" 14.6175230189648 "ATP5G2"
"54861" 14.5918237572074 "UBXN1"
"33173" 14.5845957715674 "TYMP"
"45254" 14.5706882014705 "GPX1"
"53377" 14.5637405529386 "MORF4L1"
"34639" 14.5422756901207 "lnc-TPSAB1-1"
"16500" 14.5253702771983 "LOC643549"
"53047" 14.5180832567734 "TUBA1A"
"34330" 14.5027410334646 "ENST00000623642"
"4628" 14.4914510836561 "RPL30"
"27381" 14.4781867527337 "HIST1H4J"
"48191" 14.4686477581828 "HIST1H4K"
"4789" 14.4541962356225 "RPL23A"
"52194" 14.4500016930712 "CDH2"
"29803" 14.4448233290965 "DYNLL1"
"38547" 14.4448233290965 "HIST1H2BO"
"44092" 14.4348510455894 "HSP90B1"
"47047" 14.4348510455894 "HSPE1"
"47716" 14.4280417732249 "A_33_P3275826"
"29220" 14.4027466579834 "HIST1H4H"
"39346" 14.3977616078236 "YTHDF3"
"53288" 14.3917193274173 "EEF1G"
"37011" 14.3832537221153 "RPS4X"
"10806" 14.3782200974114 "RN7SK"
"20054" 14.3782200974114 "RPS24"
"5232" 14.3717064083768 "A_33_P3351529"
"28367" 14.3717064083768 "TUBB"
"36" 14.3645021704137 "RPL37A"
"41984" 14.3555733914513 "HIST1H2BH"
"49590" 14.3555733914513 "KRTCAP2"
"19939" 14.3483669824275 "lnc-BEGAIN-1"
"16009" 14.3368347009221 "ENST00000434394"
"32284" 14.307576340006 "PABPC1"
"43646" 14.3025941379509 "lnc-CEBPB-6"
"47666" 14.3025941379509 "S100A6"
"22779" 14.289929082006 "RPL37"
"21005" 14.285848816803 "MARCKS"
"50057" 14.285848816803 "RPL18A"
"2465" 14.280288598615 "RPS20P27"
"24465" 14.280288598615 "RPL3"
"57230" 14.2745404860435 "NDUFB9"
"15147" 14.268445667295 "RPL36AL"
"27329" 14.2639217650634 "RPL36A"
"46105" 14.2639217650634 "NME1"
"2009" 14.2578694971837 "USMG5"
"47822" 14.2578694971837 "ENST00000461060"
"28904" 14.2538064336001 "ENST00000513369"
"44380" 14.2538064336001 "RPL7A"
"9519" 14.2475472646415 "ENST00000436473"
"27416" 14.2404997065197 "SLC25A4"
"4650" 14.2233780376381 "GNS"
"39725" 14.2125029948669 "ROMO1"
"51942" 14.2125029948669 "RPS27L"
"54890" 14.207872544815 "RPL23A"
"9831" 14.1990444921631 "ENST00000427950"
"21902" 14.1836162809583 "EPN1"
"10182" 14.1737322529588 "EEF1B2"
"18644" 14.1737322529588 "TPSG1"
"44048" 14.1691992316092 "MAML1"
"49513" 14.1533911545882 "ENST00000468766"
"5410" 14.1387073046278 "RAN"
"48703" 14.1387073046278 "PTMS"
"13300" 14.1314965268288 "ENST00000422837"
"12157" 14.1270743720874 "XLOC_l2_008560"
"54919" 14.1270743720874 "TOMM7"
"35315" 14.1228889394292 "TINAGL1"
"3383" 14.1191701302323 "RPSAP58"
"2734" 14.1148668043106 "COPS6"
"57608" 14.1148668043106 "RPS7"
"22244" 14.1104224329355 "POTEF"
"32922" 14.1052355618063 "APP"
"16963" 14.0936310620865 "ENST00000464118"
"2933" 14.0855488333784 "TMBIM6"
"9500" 14.0855488333784 "PPP1R14B"
"42726" 14.0799820351819 "RPS18"
"53657" 14.0755222313397 "RPL12"
"11940" 14.0696282090664 "B2M"
"19967" 14.0616467388499 "EFHD2"
"23273" 14.0512001448973 "LAPTM4A"
"57254" 14.0411409851115 "UQCRH"
"26818" 14.0363037537808 "PTPRF"
"39624" 14.0321311335379 "ENST00000403866"
"23309" 14.0244113657241 "H3F3A"
"42094" 14.0191990537541 "RPL28"
"14753" 14.015007718435 "LDHB"
"19170" 14.015007718435 "A_19_P00802027"
"56564" 14.0054483886769 "DIABLO"
"5673" 14.0036530547702 "PGK1"
"20771" 13.9948745957495 "ZFP36L1"
"36841" 13.9894191108851 "CHST2"
"54220" 13.9842312112838 "RPL9"
"8392" 13.9798667358697 "MINOS1"
"21068" 13.9753242223638 "DCP_1_0"
